Time (s), Cell Name, Value
3534.356283, C016, 19.17183
3558.836778, C016, 9.266623
59.952256, C017, 17.12329
216.127886, C017, 19.02884
250.600433, C017, 10.81624
275.180859, C017, 14.91414
305.75651, C017, 16.60467
362.011711, C017, 16.80912
535.4523359999999, C017, 7.988333
567.926495, C017, 7.217339
3188.931495, C017, 14.51957
3195.826002, C017, 17.0871
3231.397661, C017, 19.861
3250.382535, C017, 15.97501
3254.779032, C017, 15.79231
3266.469718, C017, 20.03538
3290.25077, C017, 11.45926
3322.225295, C017, 17.90936
3327.720917, C017, 12.68441
3362.293371, C017, 17.38089
3370.886525, C017, 12.18995
3400.962562, C017, 14.69378
3442.629365, C017, 16.34163
3468.308905, C017, 12.71675
3482.097919, C017, 11.689
3487.59354, C017, 17.7705
3494.587968, C017, 12.16807
3508.776663, C017, 11.97582
3539.052541, C017, 13.022
3167.848293, C019, 16.13439
3203.12019, C019, 11.76537
3167.848293, C022, 11.23894
3183.335953, C022, 7.554592
3546.54657, C033, 7.162185
3556.938291, C033, 6.569337
3561.93431, C033, 6.825219
11.79061, C035, 5.722736
14.288621, C035, 7.754851
14.588382, C035, 5.599776
41.566898, C035, 5.576778
45.363874, C035, 8.987339
59.452654, C035, 6.414908
64.348755, C035, 6.265614
143.485734, C035, 9.051624
207.135047, C035, 6.71193
258.893829, C035, 5.620158
3178.639695, C036, 9.574567
3167.848293, C038, 17.31192
577.818624, C042, 12.55483
370.604868, C043, 4.815639
533.553847, C043, 3.701002
192.346824, C044, 18.52758
194.844835, C044, 15.75732
199.141413, C044, 20.04807
205.4364, C044, 12.01353
3512.573638, C044, 9.237034
4.196657, C045, 23.23547
5.695464, C045, 18.01781
74.640559, C045, 8.539454
145.584063, C045, 8.543789
382.69524, C045, 13.42549
533.553847, C045, 18.81865
3516.270692, C045, 7.784536
3524.564085, C045, 13.29487
17.585995, C046, 7.299844
91.527112, C046, 6.685273
248.202343, C046, 6.877539
317.746961, C046, 7.758233
3211.713344, C046, 16.20827
3522.265916, C046, 14.43783
15.987268, C047, 8.622339
67.945891, C047, 7.64372
148.781517, C047, 7.115531
156.875072, C047, 11.71505
174.461067, C047, 11.438
282.774811, C047, 12.03122
340.229058, C047, 9.107916
374.102083, C047, 10.93464
3168.148054, C047, 9.801311
3272.964543, C047, 6.68458
3379.579599, C047, 6.542717
4.396498, C048, 48.98271
128.997272, C048, 35.163
243.805844, C048, 39.45737
248.402184, C048, 21.53167
312.651019, C048, 27.64499
317.247359, C048, 26.73225
333.83415, C048, 40.36845
372.103674, C048, 41.00467
563.529994, C048, 8.261761
3201.921146, C048, 9.693742
3203.12019, C048, 26.89929
3209.315255, C048, 8.465948
3315.230868, C048, 8.10338
3340.111045, C048, 11.21362
3504.879768, C048, 27.57215
3523.564881, C048, 34.94901
3524.364244, C048, 11.1043
46.562919, C049, 63.65314
3244.08755, C049, 8.581999
3281.058094, C049, 9.339115
3500.683111, C049, 9.227046
3544.248401, C049, 10.64432
3552.641714, C049, 11.48065
12.290212, C050, 13.11669
32.174377, C050, 46.20936
34.472547, C050, 22.49321
79.63658100000001, C050, 17.40506
81.235308, C050, 40.78188
83.333637, C050, 15.38636
90.228146, C050, 24.45891
138.189952, C050, 11.44216
187.350802, C050, 19.89691
282.37513, C050, 11.92617
284.77322, C050, 14.98215
297.163353, C050, 12.13881
319.645449, C050, 26.72171
344.725477, C050, 14.90257
380.39707, C050, 12.72854
535.5522570000001, C050, 19.37958
3166.749168, C050, 8.184236
3268.168364, C050, 9.166502
3403.360652, C050, 10.09399
3409.156034, C050, 19.24521
3544.248401, C050, 12.55024
3545.447446, C050, 36.15541
14.588382, C051, 18.56334
40.367853, C051, 26.84623
45.463794, C051, 31.67477
305.956351, C051, 15.46873
554.237388, C051, 14.00045
3466.91002, C051, 13.74794
3485.894894, C051, 13.66647
3509.675946, C051, 12.13407
3523.065279, C051, 10.3211
106.814937, C052, 8.291691
173.062181, C052, 37.75786
381.895876, C052, 35.64677
517.366727, C052, 27.27591
3186.333565, C052, 36.57461
3187.832371, C052, 10.83694
3192.228868, C052, 25.9474
3197.524649, C052, 28.59829
3465.910816, C052, 26.91474
3478.101103, C052, 16.09944
3480.399272, C052, 9.620808
3492.289799, C052, 18.47128
3500.783032, C052, 22.52993
3544.847924, C052, 21.36555
28.377401, C053, 27.01384
39.068887, C053, 15.86915
45.064113, C053, 16.46885
76.339207, C053, 28.8632
118.105946, C053, 17.17719
120.404116, C053, 20.3619
262.990567, C053, 17.94174
276.180063, C053, 33.98145
279.377517, C053, 23.80441
308.953964, C053, 16.14813
533.154165, C053, 8.635525
3171.245586, C053, 9.030967
3295.24679, C053, 9.203424
3364.091938, C053, 12.67089
3369.887321, C053, 8.720395
3378.180713, C053, 9.666607
3451.921961, C053, 12.99619
3462.313682, C053, 8.362939
3465.211373, C053, 9.133441
3472.305721, C053, 10.0229
3482.097919, C053, 19.84506
3497.085977, C053, 19.01822
3498.185102, C053, 28.71874
3538.053337, C053, 8.806206
16.48687, C054, 8.272001
40.667614, C054, 28.86447
43.465386, C054, 13.47784
45.263953, C054, 31.75769
169.365125, C054, 14.17056
522.962275, C054, 13.32304
528.657743, C054, 10.8678
3213.21215, C054, 10.20836
3269.66717, C054, 8.530251
3391.769886, C054, 8.53392
3399.763518, C054, 14.62874
3455.619016, C054, 14.60574
3560.935106, C054, 12.38916
21.982494, C055, 49.59275
51.059338, C055, 12.20994
106.914858, C055, 14.5054
118.405707, C055, 10.98933
380.39707, C055, 11.43319
3517.669578, C055, 10.62362
3523.864642, C055, 11.9656
8.493236, C056, 20.50759
21.882573, C056, 39.19995
29.276685, C056, 29.14249
66.547005, C056, 16.13653
75.939525, C056, 13.06811
100.320109, C056, 30.64503
102.918041, C056, 16.81751
105.715813, C056, 15.09112
110.911675, C056, 15.25121
322.443221, C056, 10.37082
344.026034, C056, 23.39005
518.0661710000001, C056, 11.34175
521.763229, C056, 27.67157
554.337309, C056, 14.92116
557.834526, C056, 16.66642
3291.849497, C056, 11.65878
3481.598317, C056, 9.820014
3485.794973, C056, 12.79772
3490.890913, C056, 13.15382
350.620782, C057, 18.07508
3169.946621, C057, 7.949524
3172.844312, C057, 8.069954
3182.736431, C057, 10.71643
3192.928311, C057, 7.321457
3228.999571, C057, 9.859428
3506.278653, C057, 19.7947
3519.068463, C057, 36.44102
36.371035, C058, 24.31523
54.556553, C058, 23.05314
518.765614, C058, 9.124667
3254.079589, C058, 7.341534
3303.340341, C058, 8.014979
3308.835963, C058, 9.537603
3347.405233, C058, 8.556017
3481.898078, C058, 18.72878
3491.790197, C058, 8.328728
3493.289003, C058, 10.67642
3502.281838, C058, 8.590465
3536.554531, C058, 7.541484
3538.053337, C058, 6.794466
3548.045376, C058, 23.22846
3552.142112, C058, 7.616008
257.694784, C059, 36.34011
264.988975, C059, 16.39366
304.557465, C059, 18.69143
