2026-05-12 19:14:04 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='old'
2026-05-12 19:15:20 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='reset'
2026-05-12 19:18:44 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='jonny'
2026-05-12 19:19:15 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='6'
2026-05-12 19:19:18 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='malte'
2026-05-12 19:19:21 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='6'
2026-05-12 19:19:21 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='today'
2026-05-12 19:19:32 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='today'
2026-05-12 19:19:38 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='in 3'
2026-05-12 19:19:49 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='new'
2026-05-12 19:20:34 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='in 12'
2026-05-12 19:20:34 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='12'
2026-05-12 19:20:34 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='in 9'
2026-05-12 19:20:42 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='new'
2026-05-12 19:22:48 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='old'
2026-05-12 19:22:53 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='malte'
2026-05-12 19:22:55 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='6'
2026-05-12 19:23:07 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='today'
2026-05-12 19:23:17 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='in 15'
2026-05-12 19:23:23 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='old'
2026-05-12 19:23:44 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='in 8'
2026-05-12 19:24:22 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='jonny'
2026-05-12 19:24:24 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='6'
2026-05-12 19:24:28 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='today'
2026-05-12 19:24:32 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='in 5'
2026-05-12 19:24:35 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='old'
2026-05-12 19:28:53 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='jonny'
2026-05-12 19:28:57 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='6'
2026-05-12 19:29:04 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='jonny'
2026-05-12 19:29:14 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='jonny'
2026-05-12 19:29:27 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='jonny'
2026-05-12 19:29:30 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='malte'
2026-05-12 19:29:32 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='6'
2026-05-12 19:29:33 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='jonny'
2026-05-12 19:29:44 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='today'
2026-05-12 19:29:55 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='jonny'
2026-05-12 19:29:57 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='6'
2026-05-12 19:30:01 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='today'
2026-05-12 19:31:35 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='now'
2026-05-12 19:31:38 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='old'
2026-05-12 19:33:19 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='now'
2026-05-12 19:33:22 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='old'
2026-05-12 19:38:08 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='d'
2026-05-12 20:27:09 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='nico'
2026-05-12 20:27:12 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='6'
2026-05-12 20:27:15 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='today'
2026-05-12 20:27:17 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='now'
2026-05-12 20:27:20 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='old'
2026-05-19 17:02:25 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='d'
2026-05-19 17:02:26 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='nico'
2026-05-19 17:02:29 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='6'
2026-05-19 17:02:31 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='today'
2026-05-19 17:02:33 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='now'
2026-05-19 17:02:35 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='old'
2026-05-19 17:36:54 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='jonny'
2026-05-19 17:36:58 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='6'
2026-05-19 17:37:02 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='today'
2026-05-19 17:37:08 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='now'
2026-05-19 17:37:10 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='old'
2026-05-19 17:37:38 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='reset'
2026-05-19 17:37:42 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='jonny'
2026-05-19 17:37:44 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='6'
2026-05-19 17:37:48 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='today'
2026-05-19 17:38:11 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='z'
2026-05-19 17:38:21 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='reset'
2026-05-19 17:38:49 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='in 1'
2026-05-19 17:38:52 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='old'
2026-05-19 17:40:44 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='reset'
2026-05-19 17:40:46 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='nico'
2026-05-19 17:40:48 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='6'
2026-05-19 17:40:51 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='today'
2026-05-19 17:40:57 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='in 5'
2026-05-19 17:40:59 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='old'
2026-05-19 17:42:36 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='malte'
2026-05-19 17:42:40 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='6'
2026-05-19 17:42:43 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='today'
2026-05-19 17:42:48 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='in 2'
2026-05-19 17:42:51 | user_id=8767215004 | username=unknown | chat_id=8767215004 | text='old'
2026-05-31 10:56:15 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='j'
2026-05-31 10:56:17 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='nico'
2026-05-31 10:56:22 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='1'
2026-05-31 10:56:24 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='today'
2026-05-31 10:56:27 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='now'
2026-05-31 10:56:31 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='old'
2026-05-31 11:31:08 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='a'
2026-05-31 11:38:38 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='jonny'
2026-05-31 11:38:43 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='1'
2026-05-31 11:38:54 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='today'
2026-05-31 11:39:06 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='in 3'
2026-05-31 11:39:10 | user_id=8492219287 | username=unknown | chat_id=8492219287 | text='old'
2026-05-31 11:39:44 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='reset'
2026-05-31 11:39:46 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='nico'
2026-05-31 11:39:49 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='1'
2026-05-31 11:39:51 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='today'
2026-05-31 11:39:54 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='in 3'
2026-05-31 11:39:56 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='old'
2026-06-10 11:21:47 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='s'
2026-07-06 17:14:37 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='f'
2026-07-06 17:14:39 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='nico'
2026-07-06 17:14:41 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='6'
2026-07-06 17:14:45 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='today'
2026-07-06 17:14:46 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='now'
2026-07-06 17:14:47 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='old'
2026-07-06 17:33:17 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='s'
2026-07-06 17:33:19 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='nico'
2026-07-06 17:33:21 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='6'
2026-07-06 17:33:23 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='today'
2026-07-06 17:33:26 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='now'
2026-07-06 17:33:35 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='old'
2026-07-13 17:22:27 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='ss'
2026-07-13 17:22:27 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='d'
2026-07-13 17:22:29 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='f'
2026-07-13 17:22:32 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='nico'
2026-07-13 17:22:35 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='reset'
2026-07-13 17:22:38 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='susanna'
2026-07-13 17:22:41 | user_id=8648305890 | username=unknown | chat_id=8648305890 | text='assel'
