Time (s), Channel Name, Value
2.2104, GPIO-1, 496
2.2106, GPIO-1, 480
2.248, GPIO-1, 496
2.2482, GPIO-1, 480
2.2828, GPIO-1, 496
2.283, GPIO-1, 480
2.2984, GPIO-1, 496
2.2986, GPIO-1, 480
2.301, GPIO-1, 496
2.3012, GPIO-1, 480
2.3398, GPIO-1, 496
2.34, GPIO-1, 480
2.407, GPIO-1, 496
2.4072, GPIO-1, 480
2.453, GPIO-1, 496
2.4532, GPIO-1, 480
2.4934, GPIO-1, 496
2.4936, GPIO-1, 480
2.4954, GPIO-1, 496
2.4956, GPIO-1, 480
2.5864, GPIO-1, 496
2.5866, GPIO-1, 480
2.6018, GPIO-1, 496
2.602, GPIO-1, 480
2.639, GPIO-1, 496
2.6392, GPIO-1, 480
2.655, GPIO-1, 496
2.6552, GPIO-1, 480
2.6558, GPIO-1, 496
2.656, GPIO-1, 480
2.6624, GPIO-1, 496
2.6626, GPIO-1, 480
2.6704, GPIO-1, 496
2.6706, GPIO-1, 480
2.673, GPIO-1, 496
2.6732, GPIO-1, 480
2.675, GPIO-1, 496
2.6752, GPIO-1, 480
2.7404, GPIO-1, 496
2.7406, GPIO-1, 480
2.7704, GPIO-1, 496
2.7706, GPIO-1, 480
2.771, GPIO-1, 496
2.7712, GPIO-1, 480
2.7996, GPIO-1, 496
2.7998, GPIO-1, 480
2.9008, GPIO-1, 496
2.901, GPIO-1, 480
2.9116, GPIO-1, 496
2.9118, GPIO-1, 480
2.9512, GPIO-1, 496
2.9514, GPIO-1, 480
2.9642, GPIO-1, 496
2.9644, GPIO-1, 480
2.9842, GPIO-1, 496
2.9844, GPIO-1, 480
2.9952, GPIO-1, 496
2.9954, GPIO-1, 480
3.0346, GPIO-1, 496
3.0348, GPIO-1, 480
3.0748, GPIO-1, 496
3.075, GPIO-1, 480
3.0886, GPIO-1, 496
3.0888, GPIO-1, 480
3.0894, GPIO-1, 496
3.0896, GPIO-1, 480
3.1196, GPIO-1, 496
3.1198, GPIO-1, 480
3.1416, GPIO-1, 496
3.1418, GPIO-1, 480
3.1436, GPIO-1, 496
3.1438, GPIO-1, 480
3.1588, GPIO-1, 496
3.159, GPIO-1, 480
3.2194, GPIO-1, 496
3.2196, GPIO-1, 480
3.2424, GPIO-1, 496
3.2426, GPIO-1, 480
3.2608, GPIO-1, 496
3.261, GPIO-1, 480
3.2674, GPIO-1, 496
3.2676, GPIO-1, 480
3.2748, GPIO-1, 496
3.275, GPIO-1, 480
3.2894, GPIO-1, 496
3.2896, GPIO-1, 480
3.302, GPIO-1, 496
3.3022, GPIO-1, 480
3.3344, GPIO-1, 496
3.3346, GPIO-1, 480
3.3964, GPIO-1, 496
3.3966, GPIO-1, 480
3.4268, GPIO-1, 496
3.427, GPIO-1, 480
3.437, GPIO-1, 496
3.4372, GPIO-1, 480
3.4672, GPIO-1, 496
3.4674, GPIO-1, 480
3.4754, GPIO-1, 496
3.4756, GPIO-1, 480
3.4872, GPIO-1, 496
3.4874, GPIO-1, 480
3.4914, GPIO-1, 496
3.4916, GPIO-1, 480
3.498, GPIO-1, 496
3.4982, GPIO-1, 480
3.5194, GPIO-1, 496
3.5196, GPIO-1, 480
3.571, GPIO-1, 496
3.5712, GPIO-1, 480
3.5764, GPIO-1, 496
3.5766, GPIO-1, 480
3.5772, GPIO-1, 496
3.5774, GPIO-1, 480
3.5954, GPIO-1, 496
3.5956, GPIO-1, 480
3.6148, GPIO-1, 496
3.615, GPIO-1, 480
3.6346, GPIO-1, 496
3.6348, GPIO-1, 480
3.6756, GPIO-1, 496
3.6758, GPIO-1, 480
3.7124, GPIO-1, 496
3.7126, GPIO-1, 480
3.7412, GPIO-1, 496
3.7414, GPIO-1, 480
3.8004, GPIO-1, 496
3.8006, GPIO-1, 480
3.8318, GPIO-1, 496
3.832, GPIO-1, 480
3.8608, GPIO-1, 496
3.861, GPIO-1, 480
4.0016, GPIO-1, 496
4.0018, GPIO-1, 480
4.0964, GPIO-1, 496
4.0966, GPIO-1, 480
4.1142, GPIO-1, 496
4.1144, GPIO-1, 480
4.1246, GPIO-1, 496
4.1248, GPIO-1, 480
4.1348, GPIO-1, 496
4.135, GPIO-1, 480
4.1764, GPIO-1, 496
4.1766, GPIO-1, 480
4.1896, GPIO-1, 496
4.1898, GPIO-1, 480
4.2016, GPIO-1, 496
4.2018, GPIO-1, 480
4.2342, GPIO-1, 496
4.2344, GPIO-1, 480
4.3078, GPIO-1, 496
4.308, GPIO-1, 480
4.3234, GPIO-1, 496
4.3238, GPIO-1, 480
4.3324, GPIO-1, 496
4.3326, GPIO-1, 480
4.3636, GPIO-1, 496
4.3638, GPIO-1, 480
4.3794, GPIO-1, 496
4.3796, GPIO-1, 480
4.416, GPIO-1, 496
4.4162, GPIO-1, 480
4.476, GPIO-1, 496
4.4762, GPIO-1, 480
4.5202, GPIO-1, 496
4.5204, GPIO-1, 480
4.5444, GPIO-1, 496
4.5446, GPIO-1, 480
4.5676, GPIO-1, 496
4.5678, GPIO-1, 480
4.6224, GPIO-1, 496
4.6226, GPIO-1, 480
4.6718, GPIO-1, 496
4.672, GPIO-1, 480
4.6876, GPIO-1, 496
4.6878, GPIO-1, 480
4.727, GPIO-1, 496
4.7272, GPIO-1, 480
4.7818, GPIO-1, 496
4.782, GPIO-1, 480
4.8438, GPIO-1, 496
4.844, GPIO-1, 480
4.8632, GPIO-1, 496
4.8634, GPIO-1, 480
4.8664, GPIO-1, 496
4.8666, GPIO-1, 480
4.9236, GPIO-1, 496
4.9238, GPIO-1, 480
4.9572, GPIO-1, 496
4.9574, GPIO-1, 480
5.0368, GPIO-1, 496
5.037, GPIO-1, 480
5.0466, GPIO-1, 496
5.0468, GPIO-1, 480
5.0804, GPIO-1, 496
5.0806, GPIO-1, 480
5.1156, GPIO-1, 496
5.1158, GPIO-1, 480
5.1452, GPIO-1, 496
5.1454, GPIO-1, 480
5.1778, GPIO-1, 496
5.178, GPIO-1, 480
5.1968, GPIO-1, 496
5.197, GPIO-1, 480
5.2682, GPIO-1, 496
5.2684, GPIO-1, 480
5.2718, GPIO-1, 496
5.272, GPIO-1, 480
5.3102, GPIO-1, 496
5.3104, GPIO-1, 480
5.3202, GPIO-1, 496
5.3204, GPIO-1, 480
5.339, GPIO-1, 496
5.3392, GPIO-1, 480
5.3418, GPIO-1, 496
5.342, GPIO-1, 480
5.36, GPIO-1, 496
5.3602, GPIO-1, 480
5.3818, GPIO-1, 496
5.382, GPIO-1, 480
5.4902, GPIO-1, 496
5.4906, GPIO-1, 480
5.5184, GPIO-1, 496
5.5186, GPIO-1, 480
5.5274, GPIO-1, 496
5.5276, GPIO-1, 480
5.5532, GPIO-1, 496
5.5534, GPIO-1, 480
5.5906, GPIO-1, 496
5.5908, GPIO-1, 480
5.5998, GPIO-1, 496
5.6, GPIO-1, 480
5.61, GPIO-1, 496
5.6102, GPIO-1, 480
5.6578, GPIO-1, 496
5.658, GPIO-1, 480
5.682, GPIO-1, 496
5.6822, GPIO-1, 480
5.7166, GPIO-1, 496
5.7168, GPIO-1, 480
5.7402, GPIO-1, 496
5.7404, GPIO-1, 480
5.8002, GPIO-1, 496
5.8004, GPIO-1, 480
5.803, GPIO-1, 496
5.8032, GPIO-1, 480
5.9126, GPIO-1, 496
5.9128, GPIO-1, 480
5.9158, GPIO-1, 496
5.916, GPIO-1, 480
5.9312, GPIO-1, 496
5.9314, GPIO-1, 480
5.969, GPIO-1, 496
5.9692, GPIO-1, 480
5.9796, GPIO-1, 496
5.9798, GPIO-1, 480
5.9822, GPIO-1, 496
5.9824, GPIO-1, 480
5.991, GPIO-1, 496
5.9912, GPIO-1, 480
6.0176, GPIO-1, 496
6.0178, GPIO-1, 480
6.0202, GPIO-1, 496
6.0204, GPIO-1, 480
6.0266, GPIO-1, 496
6.0268, GPIO-1, 480
6.0394, GPIO-1, 496
6.0396, GPIO-1, 480
6.043, GPIO-1, 496
6.0432, GPIO-1, 480
6.0442, GPIO-1, 496
6.0444, GPIO-1, 480
6.0482, GPIO-1, 496
6.0484, GPIO-1, 480
6.093, GPIO-1, 496
6.0932, GPIO-1, 480
6.1158, GPIO-1, 496
6.116, GPIO-1, 480
6.1184, GPIO-1, 496
6.1186, GPIO-1, 480
6.1192, GPIO-1, 496
6.1194, GPIO-1, 480
6.1776, GPIO-1, 496
6.1778, GPIO-1, 480
6.1834, GPIO-1, 496
6.1836, GPIO-1, 480
6.2002, GPIO-1, 496
6.2004, GPIO-1, 480
6.2512, GPIO-1, 496
6.2514, GPIO-1, 480
6.253, GPIO-1, 496
6.2532, GPIO-1, 480
6.2642, GPIO-1, 496
6.2644, GPIO-1, 480
6.2938, GPIO-1, 496
6.294, GPIO-1, 480
6.3854, GPIO-1, 496
6.3856, GPIO-1, 480
6.5506, GPIO-1, 496
6.5508, GPIO-1, 480
6.5538, GPIO-1, 496
6.554, GPIO-1, 480
6.5568, GPIO-1, 496
6.557, GPIO-1, 480
6.6054, GPIO-1, 496
6.6056, GPIO-1, 480
6.608, GPIO-1, 496
6.6082, GPIO-1, 480
6.6662, GPIO-1, 496
6.6664, GPIO-1, 480
6.671, GPIO-1, 496
6.6712, GPIO-1, 480
6.6886, GPIO-1, 496
6.6888, GPIO-1, 480
6.7084, GPIO-1, 496
6.7086, GPIO-1, 480
6.7226, GPIO-1, 496
6.7228, GPIO-1, 480
6.7776, GPIO-1, 496
6.7778, GPIO-1, 480
6.7926, GPIO-1, 496
6.7928, GPIO-1, 480
6.7938, GPIO-1, 496
6.794, GPIO-1, 480
6.8038, GPIO-1, 496
6.804, GPIO-1, 480
6.8872, GPIO-1, 496
6.8874, GPIO-1, 480
6.9154, GPIO-1, 496
6.9156, GPIO-1, 480
6.9346, GPIO-1, 496
6.9348, GPIO-1, 480
6.9588, GPIO-1, 496
6.959, GPIO-1, 480
7.0036, GPIO-1, 496
7.0038, GPIO-1, 480
7.0098, GPIO-1, 496
7.01, GPIO-1, 480
7.0468, GPIO-1, 496
7.047, GPIO-1, 480
7.074, GPIO-1, 496
7.0742, GPIO-1, 480
7.0778, GPIO-1, 496
7.078, GPIO-1, 480
7.1356, GPIO-1, 496
7.1358, GPIO-1, 480
7.1542, GPIO-1, 496
7.1544, GPIO-1, 480
7.1574, GPIO-1, 496
7.1576, GPIO-1, 480
7.2176, GPIO-1, 496
7.2178, GPIO-1, 480
7.236, GPIO-1, 496
7.2362, GPIO-1, 480
7.2694, GPIO-1, 496
7.2696, GPIO-1, 480
7.3102, GPIO-1, 496
7.3104, GPIO-1, 480
7.4206, GPIO-1, 496
7.4208, GPIO-1, 480
7.4302, GPIO-1, 496
7.4304, GPIO-1, 480
7.4476, GPIO-1, 496
7.4478, GPIO-1, 480
7.5766, GPIO-1, 496
7.5768, GPIO-1, 480
7.587, GPIO-1, 496
7.5872, GPIO-1, 480
7.6296, GPIO-1, 496
7.6298, GPIO-1, 480
7.6664, GPIO-1, 496
7.6666, GPIO-1, 480
7.6772, GPIO-1, 496
7.6774, GPIO-1, 480
7.7452, GPIO-1, 496
7.7454, GPIO-1, 480
7.7592, GPIO-1, 496
7.7594, GPIO-1, 480
7.7622, GPIO-1, 496
7.7624, GPIO-1, 480
7.827, GPIO-1, 496
7.8272, GPIO-1, 480
7.8318, GPIO-1, 496
7.832, GPIO-1, 480
7.881, GPIO-1, 496
7.8812, GPIO-1, 480
7.8894, GPIO-1, 496
7.8896, GPIO-1, 480
7.8974, GPIO-1, 496
7.8976, GPIO-1, 480
7.9756, GPIO-1, 496
7.9758, GPIO-1, 480
7.9764, GPIO-1, 496
7.9766, GPIO-1, 480
7.9936, GPIO-1, 496
7.9938, GPIO-1, 480
8.0006, GPIO-1, 496
8.0008, GPIO-1, 480
8.0288, GPIO-1, 496
8.029, GPIO-1, 480
8.047000000000001, GPIO-1, 496
8.0472, GPIO-1, 480
8.068, GPIO-1, 496
8.068199999999999, GPIO-1, 480
8.079599999999999, GPIO-1, 496
8.079800000000001, GPIO-1, 480
8.085599999999999, GPIO-1, 496
8.085800000000001, GPIO-1, 480
8.116, GPIO-1, 496
8.116199999999999, GPIO-1, 480
8.1264, GPIO-1, 496
8.126799999999999, GPIO-1, 480
8.128399999999999, GPIO-1, 496
8.1286, GPIO-1, 480
8.135199999999999, GPIO-1, 496
8.135400000000001, GPIO-1, 480
8.1638, GPIO-1, 496
8.164, GPIO-1, 480
8.172000000000001, GPIO-1, 496
8.1722, GPIO-1, 480
8.242000000000001, GPIO-1, 496
8.2422, GPIO-1, 480
8.289, GPIO-1, 496
8.289199999999999, GPIO-1, 480
8.3714, GPIO-1, 496
8.371600000000001, GPIO-1, 480
8.3802, GPIO-1, 496
8.3804, GPIO-1, 480
8.3864, GPIO-1, 496
8.3866, GPIO-1, 480
8.391, GPIO-1, 496
8.3912, GPIO-1, 480
8.398199999999999, GPIO-1, 496
8.398400000000001, GPIO-1, 480
8.493, GPIO-1, 496
8.4932, GPIO-1, 480
8.5246, GPIO-1, 496
8.524800000000001, GPIO-1, 480
8.532400000000001, GPIO-1, 496
8.5326, GPIO-1, 480
8.5806, GPIO-1, 496
8.5808, GPIO-1, 480
8.602, GPIO-1, 496
8.6022, GPIO-1, 480
8.605399999999999, GPIO-1, 496
8.605600000000001, GPIO-1, 480
8.663399999999999, GPIO-1, 496
8.663600000000001, GPIO-1, 480
8.6744, GPIO-1, 496
8.6746, GPIO-1, 480
8.7478, GPIO-1, 496
8.748200000000001, GPIO-1, 480
8.771800000000001, GPIO-1, 496
8.772, GPIO-1, 480
8.773, GPIO-1, 496
8.773199999999999, GPIO-1, 480
8.792, GPIO-1, 496
8.792199999999999, GPIO-1, 480
8.793799999999999, GPIO-1, 496
8.794, GPIO-1, 480
8.8126, GPIO-1, 496
