Time (s), Cell Name, Value
87.03040900000001, C023, 19.22449
94.72425699999999, C023, 16.60186
269.984116, C023, 14.36812
1705.71385, C023, 10.04904
1778.055966, C023, 8.517045
1778.755407, C023, 13.23408
1785.05037, C023, 6.305841
1799.039177, C023, 6.48048
1911.449234, C023, 7.135356
22.781783, C024, 8.33654
25.879306, C024, 10.72598
51.458852, C024, 8.461089
62.649904, C024, 15.8909
63.948865, C024, 11.92097
66.846548, C024, 15.2913
1697.720246, C024, 8.686446
1800.138298, C024, 8.763131
1844.30296, C024, 10.3849
1850.697843, C024, 10.1137
1921.241399, C024, 9.138846
1932.632285, C024, 18.16098
1983.491591, C024, 12.50034
1984.890472, C024, 13.14186
1988.087913, C024, 8.977085
71.34295299999999, C026, 56.52842
153.777037, C026, 55.92029
158.273442, C026, 44.87563
1829.115112, C026, 41.23745
1845.302161, C026, 43.74504
1859.990408, C026, 36.16236
1891.165464, C026, 22.64743
1892.664265, C026, 22.1049
1901.057549, C026, 12.70732
1901.557149, C026, 16.75245
14.988015, C027, 10.27596
29.27659, C027, 8.452104
1923.7394, C027, 52.6672
1938.227808, C027, 38.0861
1943.02397, C027, 45.08424
1976.697027, C027, 53.82956
183.952908, C028, 31.11471
260.791467, C028, 62.80225
1901.657069, C028, 16.59456
1911.848914, C028, 9.064046
26.878507, C029, 57.08712
169.464493, C029, 16.82801
175.159939, C029, 19.7352
238.509284, C029, 29.10202
1781.153488, C029, 10.60727
1813.727425, C029, 20.08357
1850.997604, C029, 10.6875
1928.735403, C029, 13.16601
1958.111898, C029, 16.31592
94.32457599999999, C030, 22.05429
114.308597, C030, 31.00694
210.931336, C030, 15.79179
226.119191, C030, 33.62643
228.117593, C030, 18.40744
234.1128, C030, 35.81097
244.30465, C030, 37.87567
245.703531, C030, 23.82812
270.983317, C030, 29.85379
1946.820932, C030, 12.42706
1973.499586, C030, 11.07414
40.667481, C031, 24.35645
180.455705, C031, 24.7829
209.332614, C031, 17.54807
209.832215, C031, 20.0254
212.929738, C031, 45.37946
227.518073, C031, 34.81506
231.814637, C031, 28.8214
247.002493, C031, 28.82515
250.100016, C031, 18.80849
268.785075, C031, 18.68565
1802.536379, C031, 21.54485
1805.6339, C031, 16.8721
1810.729823, C031, 30.37189
1836.709036, C031, 16.05552
1837.508397, C031, 15.97702
1862.488409, C031, 27.9097
1866.984812, C031, 17.38634
204.636369, C032, 53.26556
208.633173, C032, 40.71387
1975.398067, C032, 19.07635
7.593927, C033, 37.25326
10.891291, C033, 41.02483
69.44447099999999, C033, 10.50678
1828.515592, C033, 15.66826
1908.251793, C033, 11.77734
1917.344517, C033, 10.59085
13.888894, C034, 17.40335
85.731447, C034, 12.5244
193.745078, C034, 12.76334
1805.43406, C034, 20.27253
1936.828927, C034, 49.87579
1942.22461, C034, 39.51669
1960.609899, C034, 8.586819
73.34135499999999, C035, 37.64281
76.438878, C035, 29.7338
157.474081, C035, 13.83591
1817.324546, C035, 25.59729
1842.304559, C035, 29.66749
1864.986411, C035, 23.53109
1869.782573, C035, 27.40667
1942.82413, C035, 20.41014
1948.219813, C035, 25.93519
1717.104736, C036, 20.71423
1917.044757, C036, 15.81645
1937.428447, C036, 23.1835
1938.627488, C036, 17.05272
1941.125489, C036, 19.57537
180.555625, C037, 25.02368
217.526063, C037, 18.21751
223.721109, C037, 11.54697
224.92015, C037, 24.81878
225.619591, C037, 15.70774
240.307846, C037, 21.90963
240.807446, C037, 14.01927
246.203132, C037, 29.61626
1788.847332, C037, 8.247936
1808.431662, C037, 11.31281
1831.213433, C037, 8.18781
1847.600322, C037, 9.417379
1976.896867, C037, 11.60975
27.677868, C038, 11.00753
85.731447, C038, 45.65308
209.932135, C038, 15.78151
269.084835, C038, 17.59116
1832.512394, C038, 9.689497
1907.752192, C038, 21.60948
165.068009, C039, 11.58606
203.037648, C039, 18.76888
205.73549, C039, 23.72515
220.723506, C039, 42.3674
238.809044, C039, 19.38896
246.103212, C039, 15.42431
257.294263, C039, 12.52961
262.689949, C039, 37.79732
1713.008013, C039, 14.48873
1739.087147, C039, 12.21511
1896.361307, C039, 14.71443
1940.625889, C039, 7.286312
1943.623491, C039, 9.903238
1952.816135, C039, 31.61292
1967.804143, C039, 15.02105
96.822579, C040, 7.964041
103.217465, C040, 8.954031
143.185506, C040, 14.79023
148.181511, C040, 15.96149
153.077596, C040, 15.15237
157.474081, C040, 8.716467
161.570805, C040, 8.623142
166.16713, C040, 9.978296
182.154346, C040, 8.554628
1767.564361, C040, 39.09128
1838.807357, C040, 31.82389
1842.604319, C040, 30.41072
1847.000802, C040, 28.68661
1867.984012, C040, 32.49552
1957.612298, C040, 36.74556
1966.505182, C040, 34.59424
159.372563, C041, 16.75032
164.968089, C041, 41.34454
171.063215, C041, 23.87681
173.261457, C041, 18.99728
186.850591, C041, 26.32188
1720.402097, C041, 17.46014
1795.541975, C041, 14.57232
1801.137498, C041, 8.686888
22.182262, C042, 9.842501
27.078347, C042, 10.59539
27.977628, C042, 24.25915
144.084787, C042, 12.15745
159.372563, C042, 10.77396
166.16713, C042, 15.06051
218.225503, C042, 19.00208
242.006488, C042, 12.26764
250.599616, C042, 23.82879
257.793864, C042, 10.78617
262.390189, C042, 11.68491
1838.907277, C042, 22.6416
1863.08793, C042, 19.83741
1865.086331, C042, 21.91592
1884.770581, C042, 20.12578
1919.442838, C042, 33.60799
1921.84092, C042, 22.28526
1940.426049, C042, 21.95876
27.478028, C043, 16.44566
182.454107, C043, 10.50588
270.183957, C043, 43.19947
1719.302977, C043, 13.85711
1721.601138, C043, 21.61019
1725.99762, C043, 13.75113
1729.794582, C043, 15.37675
1737.988026, C043, 16.48428
99.62034199999999, C044, 13.70379
102.817785, C044, 33.60273
1722.900098, C044, 12.57454
1739.686667, C044, 9.173031
1799.139097, C044, 8.519951
1962.80814, C044, 10.00267
34.372515, C045, 28.67691
41.267002, C045, 14.5466
256.794663, C045, 15.54789
1818.223827, C045, 20.97194
1927.036762, C045, 21.73665
23.181463, C046, 22.58336
31.474832, C046, 19.87822
34.772195, C046, 14.45417
140.087983, C046, 11.99314
