 
bodyparts,snout,snout,snout,mouth,mouth,mouth,paw_VL,paw_VL,paw_VL,paw_VR,paw_VR,paw_VR,middle,middle,middle,paw_HL,paw_HL,paw_HL,paw_HR,paw_HR,paw_HR,anus,anus,anus,tail_start,tail_start,tail_start,tail_middle,tail_middle,tail_middle,tail_end,tail_end,tail_end
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,445.42940562963486,405.92761850357056,0.9999954700469971,448.4669346809387,415.9694366455078,0.9999994039535522,477.91546231508255,455.7264485359192,0.999855637550354,445.92601627111435,433.20879554748535,0.9999911785125732,463.04196977615356,470.65730905532837,0.9999252557754517,479.66968870162964,484.78453719615936,0.9999995231628418,446.4813847541809,497.6097514629364,0.9999990463256836,463.22222232818604,507.5009857416153,0.9999562501907349,460.5654398202896,515.829607129097,0.9999655485153198,421.7437117099762,530.4276174902916,0.9995224475860596,377.64968371391296,508.80433332920074,0.9999463558197021
1,450.40478515625,406.71501964330673,0.9998937845230103,451.3682335317135,416.82367992401123,0.9999710321426392,478.7466924190521,457.82650923728943,0.9970876574516296,449.54241013526917,434.0222647190094,0.9998518228530884,463.64222621917725,470.672554731369,0.9995636343955994,482.8483989238739,485.1417397260666,0.999954104423523,448.68700194358826,499.4325737953186,0.9999942779541016,463.4987382888794,507.5009857416153,0.9999217987060547,461.2126307487488,516.1460602283478,0.9999504089355469,423.1803879737854,533.6851778030396,0.9973504543304443,378.4647677540779,510.24510622024536,0.9961601495742798
2,450.80822502076626,406.71501964330673,0.9999594688415527,452.82317274808884,416.82367992401123,0.9999957084655762,478.9018008708954,457.82650923728943,0.9967111349105835,449.88388180732727,435.55203926563263,0.9999316930770874,463.8758316040039,470.672554731369,0.9998350143432617,483.4271492063999,485.21137857437134,0.9999960660934448,449.03787541389465,499.4325737953186,0.9999988079071045,463.72542810440063,507.5009857416153,0.9997889399528503,462.42225313186646,516.1460602283478,0.9999332427978516,423.35780143737793,533.6851778030396,0.9995028972625732,378.8212068080902,510.24510622024536,0.9996962547302246
3,450.80822502076626,405.92761850357056,0.9999459981918335,451.3682335317135,415.9694366455078,0.9999895095825195,478.7466924190521,455.7264485359192,0.9964118599891663,449.54241013526917,435.8902406692505,0.999964714050293,464.1832640171051,470.672554731369,0.9998600482940674,482.8483989238739,485.21137857437134,0.9999970197677612,448.68700194358826,499.4325737953186,0.9999949932098389,463.72542810440063,507.4227440357208,0.999981164932251,461.2126307487488,515.829607129097,0.9999289512634277,423.1803879737854,533.6851778030396,0.9977825284004211,378.817565202713,510.24510622024536,0.9997592568397522
4,450.80822502076626,405.2059646844864,0.9999651908874512,451.3682335317135,414.57644617557526,0.9999957084655762,478.7466924190521,455.7264485359192,0.9986158609390259,449.54241013526917,437.955659031868,0.9999386072158813,464.1843843460083,470.672554731369,0.9998601675033569,482.8483989238739,485.21137857437134,0.999992847442627,448.68700194358826,499.4325737953186,0.9999978542327881,463.72542810440063,506.42274022102356,0.9999282360076904,461.2126307487488,514.9739456176758,0.9999474287033081,422.4718134403229,533.9133278131485,0.9979910850524902,378.817565202713,510.24510622024536,0.9995859265327454
5,450.80822502076626,404.3313467502594,0.9991710186004639,451.3682335317135,414.3435945510864,0.9998782873153687,478.14527463912964,455.2849659919739,0.9973025321960449,449.54241013526917,437.955659031868,0.9999667406082153,464.277037858963,470.672554731369,0.9995817542076111,482.9128451347351,485.21137857437134,0.9999911785125732,447.14001536369324,499.4325737953186,0.9999357461929321,463.72542810440063,505.9631562232971,0.999970555305481,461.19641375541687,514.824343919754,0.9999289512634277,423.1803879737854,535.4479869604111,0.9983758926391602,379.06409192085266,514.0219826698303,0.9996596574783325
6,452.61961030960083,403.34800958633423,0.99941086769104,453.1126238703728,413.6246966123581,0.9999796152114868,478.14527463912964,454.57798063755035,0.9984276294708252,450.32596802711487,436.8118395805359,0.9999675750732422,464.3805401325226,469.9535393714905,0.9998337030410767,482.9128451347351,485.21137857437134,0.9999957084655762,447.14001536369324,498.95520067214966,0.9999793767929077,463.72542810440063,505.35277819633484,0.9998476505279541,461.19641375541687,514.5216438770294,0.9999352693557739,423.83226132392883,535.4479869604111,0.9991419315338135,379.4182154536247,514.0219826698303,0.9996433258056641
7,448.1196174621582,399.6809434890747,0.9996277093887329,450.25951063632965,411.07565665245056,0.9999840259552002,477.9870661497116,454.4376814067364,0.9983412027359009,450.32596802711487,437.22629284858704,0.9999538660049438,464.3805401325226,469.9535393714905,0.9997777342796326,482.9128451347351,485.78576308488846,0.9999946355819702,446.7753281593323,500.37013787031174,0.9999890327453613,463.73771023750305,505.06616473197937,0.9997947812080383,461.19641375541687,513.3845839500427,0.9999501705169678,423.83226132392883,535.8159754276276,0.9989230036735535,380.5086782872677,514.2443709373474,0.9996567964553833
8,448.1196174621582,399.10123980790377,0.9991719722747803,450.25951063632965,409.2876379787922,0.9999179840087891,477.9870661497116,452.98788809776306,0.9994378685951233,450.5420750975609,437.22629284858704,0.9999276399612427,464.6940679550171,469.7609928250313,0.9994717240333557,482.9782135486603,485.81102907657623,0.9999946355819702,447.14001536369324,500.51958894729614,0.9999505281448364,463.8427195549011,503.6725922822952,0.9999867677688599,461.55177211761475,512.7058115005493,0.9999096393585205,425.91973423957825,536.4182212352753,0.9992904663085938,380.6276490688324,514.1092034578323,0.9999090433120728
