,A53T_701,A53T_705,A53T_706,A53T_707,A53T_709,A53T_710,GFP_406,GFP_407,mKate_691,mKate_692,mKate_700,mKate_703,mKate_704
0,0.33256089328137506,-0.3782773450722088,0.9861975611098917,-0.01222010068081536,0.6806652078652831,0.478278480163008,0.28554887655142247,0.04148368040620687,0.1927057375322172,0.5654392084678106,0.053415301695203254,0.08333649644410857,0.4501020851384929
1,0.2949844598052809,-0.3468705095041491,0.9105960762319842,0.010996421815889779,0.6998288592584778,0.4713601250170618,0.32466736613521174,0.05311746453634525,0.23384124814544993,0.5325570127134638,0.008665404638308338,0.1308140440116845,0.49131560931059415
2,0.2738887258681655,-0.30528706763208735,0.8323012919575934,0.038110232723731485,0.7169610811014526,0.46612144947377754,0.3631242859084449,0.07626554497485172,0.29753491003411403,0.48229150561824863,-0.018871894543481815,0.16652679215495292,0.5119199943171004
3,0.2743477993907062,-0.2585371478173615,0.7505315584434902,0.06354687328131714,0.7268995405360412,0.4627378786553171,0.4019504288160447,0.09870102951167192,0.36742328293418725,0.42239649575395166,-0.02440341501159793,0.1852098980836714,0.5077299763387888
4,0.29614806057789433,-0.2126327402026229,0.6696066640666354,0.08323415172809545,0.7228869545220507,0.4583046339099006,0.44536890655429984,0.10966826648848294,0.426376733619771,0.3640534322910005,-0.011415867809905222,0.18868748074579722,0.48091040810825936
5,0.33342811974685915,-0.17222834138954646,0.5982903260821404,0.09596289215508813,0.7009912865383994,0.4493534152826939,0.49545136778947896,0.10444100354712882,0.4626940962016435,0.31862073621165,0.011404915217405609,0.18339710515966612,0.4386683941279501
6,0.3758203444344743,-0.1383707827733227,0.5458172140041295,0.10268627066817304,0.6643854034104613,0.4352085739111389,0.5476195155587948,0.08613670529522555,0.4731560230109344,0.2943615198761629,0.035339580978077656,0.17587838826923496,0.39078274353695486
7,0.41113459460500046,-0.10788707266566888,0.5177695516944025,0.10441763851493091,0.6233955178353456,0.4197317071728546,0.5908446635592646,0.06372794313100894,0.4624456885096384,0.29438529163452465,0.05556669107702472,0.16922379155754896,0.3473675597791326
8,0.4292002471538159,-0.07468298052604183,0.513884361791761,0.10055214603951201,0.5907270806114862,0.41036638487342847,0.6130647421514479,0.04685558004553503,0.43959480953369434,0.31654417756805664,0.07220041469466754,0.16221007461175718,0.3176693322151203
9,0.42512233469553795,-0.03251245906887856,0.528698639616243,0.0895911563416174,0.5748476184213591,0.41479406310125366,0.6080459186098564,0.04036721282097977,0.4135982725158249,0.354858631412136,0.08860756834885297,0.1508281894316954,0.30900806493607824
10,0.40075688125161824,0.021608004486184385,0.5541134269999803,0.07192624933696212,0.575293253438125,0.43646088407639505,0.5790895368128712,0.04270611249145295,0.39026653528774213,0.40163610222050394,0.10871296999170887,0.13152351646108507,0.325177762244111
