Time,Fluo,Isos,IO2,IO3,Distances
0.0,0.16234126555802006,0.14934985380419444,0,0,
0.01,0.16225561064116256,0.14927240772049172,1,0,0.17600595951080322
0.02,0.16225908378157142,0.1492518414452253,0,0,
0.03,0.16234175482806826,0.14927326080722192,0,0,
0.04,0.16246516630559857,0.14930931943227418,0,0,
0.05,0.1625702715408393,0.14937806598239475,0,0,
0.06,0.1626136136948735,0.14943740368000138,0,0,
0.07,0.16259078689732373,0.14945123902323648,0,0,
0.08,0.16252834280905462,0.14944947917979365,0,0,
0.09,0.16248626775003258,0.14944977004645574,0,0,
0.1,0.16250192264336982,0.14947709103644732,0,0,
0.11,0.16258007707702982,0.14959295944938153,1,0,2.629565670643502
0.12,0.16269721139882043,0.1497474321221246,0,0,
0.13,0.16283030227545126,0.14987062439358587,0,0,
0.14,0.16296625677739765,0.14997159018675837,0,0,
0.15,0.16306881098114673,0.15000674895480104,0,0,
0.16,0.1631139247882126,0.14997241069780934,0,0,
0.17,0.16311181783542406,0.14995080233022184,0,0,
0.18,0.16311894282801986,0.14998447060562736,0,0,
0.19,0.16317425667355723,0.15008225624373364,0,0,
0.2,0.16325250401675978,0.1502375263387824,0,0,
0.21,0.16330871399332106,0.15036632326445334,1,0,1.9163955591604476
0.22,0.16330818224478552,0.15040451870098623,0,0,
0.23,0.16325532333846138,0.1503950047510666,0,0,
0.24,0.16316214794074188,0.15033651933968034,0,0,
0.25,0.1630532186405336,0.15024798880876877,0,0,
0.26,0.16297095944432602,0.1502158883537925,0,0,
0.27,0.16294790401125103,0.15023464698432157,0,0,
0.28,0.16299628175345718,0.150280443650071,0,0,
0.29,0.16308241063632928,0.1503653078340461,0,0,
0.3,0.1631677456159939,0.15045636562211928,0,0,
0.31,0.1632209331941459,0.1505273889716593,1,0,8.562946339002913
0.32,0.16323156317683263,0.15060433134356868,0,0,
0.33,0.16322671399673844,0.15066123566450734,0,0,
0.34,0.16323742435449679,0.1506838685845693,0,0,
0.35,0.16328325637581198,0.15073521803697593,0,0,
0.36,0.16334442351443598,0.1507920975197013,0,0,
0.37,0.16340716186355986,0.1508271150167267,0,0,
0.38,0.1634773715133606,0.15087835895155968,0,0,
0.39,0.1635500276784938,0.1509177289673074,0,0,
0.4,0.1635997677952267,0.15092391744270994,0,0,
0.41,0.16358299617169375,0.1509297129095275,1,0,9.68554721710655
