Time,Isos,Fluo
0.1001,0.18706523901718097,0.3383031856316836
0.1101,0.1870772956371189,0.3382950312787607
0.1201,0.18706602092168698,0.338226764045455
0.1301,0.18696891427442341,0.33808690018102
0.1401,0.186830355319684,0.3379100404321712
0.1501,0.18670774758261652,0.3377736447706658
0.1601,0.18661825384359898,0.337729331385928
0.1701,0.18656328212515833,0.33774415319381057
0.1801,0.18650190240917514,0.33774636927169605
0.1901,0.18643666116675886,0.33771219339818864
0.2001,0.18639246063324555,0.33762410047905544
0.2101,0.18635281515013247,0.33746567589723847
0.2201,0.18633449026572718,0.33730399033569897
0.2301,0.18634474205075044,0.33721085900255077
0.2401,0.18637306429883757,0.33718140871212793
0.2501,0.18641972755817152,0.337207362913076
0.2601,0.18643119287097215,0.3372513577269493
0.2701,0.18637171544745915,0.33723414000990837
0.2801,0.1862493628504466,0.3371045747098094
0.2901,0.18607386708254167,0.33690682011203316
0.3001,0.18590959534377174,0.33674838542452734
0.3101,0.18580076793409817,0.33664673926088157
0.3201,0.18575590941077616,0.3365799802088077
0.3301,0.18579391826103664,0.3365569354918018
0.3401,0.18587637263468854,0.33653396542880404
0.3501,0.1859536855321662,0.33645659592945676
0.3601,0.1859783384846188,0.33632942963174595
0.3701,0.18589792767849006,0.33616787068604986
0.3801,0.18575485033912395,0.33598294643528587
0.3901,0.18561628117661272,0.3358221238439893
0.4001,0.18550918323747123,0.3357545252276608
0.4101,0.18544420324143143,0.33578679541330214
0.4201,0.18537796376383825,0.33583432088657644
0.4301,0.185296382952295,0.33584788377906033
0.4401,0.1852224370753159,0.33582492473797465
0.4501,0.1851441940455701,0.3357323311868531
0.4601,0.1850763687075671,0.33560447603404897
0.4701,0.18502894981838466,0.33551088107216664
0.4801,0.1849891245867107,0.3354526513904372
0.4901,0.18496495333053745,0.335399460069219
0.5001,0.1849224469617286,0.3353256397863925
0.5101,0.1848425024739446,0.33522585669548766
0.5201,0.1847479017386328,0.3350945971820193
0.5301,0.1846445585702872,0.3349630991352091
0.5401,0.18457306693425024,0.33490221318935937
0.5501,0.1845601075288357,0.334898330833302
0.5601,0.18458932975233222,0.33487920704663965
0.5701,0.18465019640909933,0.33485090593596495
0.5801,0.18468374900189002,0.33483845792645583
0.5901,0.18464885774872328,0.33481215650289214
0.6001,0.18456446569121163,0.3347526964517777
0.6101,0.18444323217665626,0.33466076249655613
0.6201,0.18433641258121794,0.3345550462668635
0.6301,0.18428030538045773,0.33446183088235515
