,Isos,Fluo
0.1,0.12818720126242517,0.144632041337472
0.2,0.12696778712105689,0.14347404432014596
0.3,0.1262694729263383,0.14296490037050297
0.4,0.12607464482304073,0.14249824776909728
0.5,0.12593556962549324,0.1426154300200783
0.6,0.1257119901102069,0.14237037706012998
0.7,0.12556489994769834,0.14213725285904646
0.8,0.12513337049570505,0.14173807183866982
0.9,0.12457009747767966,0.14112419593201733
1.0,0.1242611340208616,0.14066624765896157
1.1,0.12402400195281012,0.14053132616114067
1.2,0.12371531394903593,0.140396679364901
1.3,0.12342565789660212,0.14026241284061972
1.4,0.12326353000769531,0.1400330741184456
1.5,0.12297291166488328,0.1398900255554842
1.6,0.1228177573671151,0.1396655316233121
1.7,0.12243635156726232,0.13931947083392374
1.8,0.12247714474487707,0.13925165897190525
1.9,0.12296458715747438,0.1397352390400453
2.0,0.12311713008517984,0.13970732773052827
2.1,0.12323771883349051,0.13989772351134377
2.2,0.12331796550165045,0.14002256319435702
2.3,0.12306310011028877,0.1396824645687272
2.4,0.12314823587469556,0.1397279113653693
2.5,0.1226409427542155,0.13931867505892723
2.6,0.12236405192857633,0.13891636385885223
2.7,0.12186716696533964,0.13869253278450913
2.8,0.12194323664694964,0.13862259855245024
2.9,0.12154573511570864,0.13839683370784628
3.0,0.12165625105449111,0.13835304981732502
3.1,0.12174897938918568,0.13834995294212546
3.2,0.12193575275965345,0.13856627266535732
3.3,0.12182180494248566,0.1385813312269727
3.4,0.12180474842799624,0.13840147058028174
3.5,0.12169584621538061,0.13837650421693176
3.6,0.12164691985610823,0.13830434846545483
3.7,0.12091158230465164,0.13772980065290844
3.8,0.12101399495159736,0.13775184333141163
3.9,0.1210110474359398,0.13787409240035015
4.0,0.12072177160272836,0.13726063844198014
4.1,0.12078338980660527,0.13750913858608987
4.2,0.1205859764499703,0.1372204708138712
4.3,0.12066339051767351,0.1371881399849398
4.4,0.12024432014667648,0.13719606065224427
4.5,0.12036624667695946,0.1371142305554896
4.6,0.12036531850468635,0.13726461452048885
4.7,0.1205081245327409,0.13738375205997638
4.8,0.12059662714150206,0.13754246729833577
4.9,0.12043656007393962,0.13726626694470254
5.0,0.12053987436041698,0.13726544050809436
5.1,0.12054368891097123,0.13742146331145513
5.2,0.12049927541762281,0.13718425749101068
5.3,0.12062617829354394,0.13731954099351332
5.4,0.12051107500836628,0.13726231123927707
5.5,0.12031156465472373,0.13719980042925922
5.6,0.12042937493206729,0.13728275735470788
5.7,0.12038721136193256,0.13719025425245576
5.8,0.12040274305349254,0.13698080943866794
5.9,0.11989364679102972,0.1367538236560675
6.0,0.12008368791386316,0.13699827384737512
6.1,0.12018308725806907,0.136935649581896
6.2,0.11948527765801155,0.13634317586350486
6.3,0.11956209580720556,0.13628619908543743
6.4,0.11959592993322915,0.136581668032708
6.5,0.11978327507967469,0.13677263262659245
6.6,0.11995810828003255,0.1367308088788449
6.7,0.11971876746225885,0.13655770133934517
6.8,0.11971690097555265,0.13655973951719116
6.9,0.11951935963125826,0.13648782392904923
7.0,0.11982959967096435,0.13665760343160957
7.1,0.1200361717661125,0.13668864089625135
7.2,0.1201597694499288,0.1367619872147094
7.3,0.12056667237403401,0.1371449177294878
7.4,0.12037201310256469,0.1369737734982537
7.5,0.12035293990929681,0.13683829793962823
7.6,0.1200848011758199,0.1368677155968163
7.7,0.12043944468248216,0.13691389619004832
