Time,Fluo,Isos,IO2,IO3
0.1,0.16598682629218792,0.1498044441465682,0,0
0.11,0.16596994859444075,0.14971647004100955,0,0
0.12,0.16596462902940864,0.1496571112496172,0,0
0.13,0.16593852426238279,0.1496021154809982,0,0
0.14,0.16587071634694642,0.1495180832711661,0,0
0.15,0.16575667841780597,0.14942107342078312,0,0
0.16,0.16563475892965893,0.1493086862152077,0,0
0.17,0.16554223924523767,0.14919809031950454,0,0
0.18,0.16549043939054153,0.14915416514269977,0,0
0.19,0.16547519819162165,0.14915755791285198,0,0
0.2,0.1654750067406909,0.14916206712718627,0,0
0.21,0.16546711278839027,0.14918278611001237,0,0
0.22,0.1654151157822302,0.14915990998883477,0,0
0.23,0.16531709260310928,0.1490608812665383,0,0
0.24,0.1652132854990695,0.14895584730189987,0,0
0.25,0.16515008410646154,0.1488766325919445,0,0
0.26,0.1651454628730056,0.14885211283138683,0,0
0.27,0.16517185285092809,0.14892225854788127,0,0
0.28,0.1652083929288246,0.14903993336047822,0,0
0.29,0.16523423894397996,0.14912591265209685,0,0
0.3,0.16522944580320237,0.14916733001227697,0,0
0.31,0.16518486854325565,0.1491218107008455,0,0
0.32,0.1651160235679332,0.1489829630289498,0,0
0.33,0.1650620057803806,0.1488415498884441,0,0
0.34,0.1650273518074242,0.14871682892544322,0,0
0.35,0.16500313203145014,0.14862803098282912,0,0
0.36,0.16498649218817552,0.14863769026466492,0,0
0.37,0.16499251178749103,0.1487166394788377,0,0
0.38,0.16502303704094873,0.14879334339040654,0,0
0.39,0.1650356566946073,0.1488280355837673,0,0
0.4,0.16500028715711146,0.14877539498473552,0,0
0.41,0.16491814122978382,0.14864260806615637,0,0
0.42,0.16482464856706952,0.1485218972726092,0,0
0.43,0.16474440141278512,0.14842026827427782,0,0
0.44,0.16468074130069937,0.14832098015150663,0,0
0.45,0.16463858659809494,0.14826200449349364,0,0
0.46,0.1646071425425493,0.14819506541223712,0,0
0.47,0.16457320583209958,0.14808639099792242,0,0
0.48,0.16450970445768548,0.14797688559923228,0,0
0.49,0.16440586294888226,0.14786551634777423,0,0
