,Isos,Fluo
0.1,0.1498044441465682,0.16598682629218792
0.11,0.14971647004100955,0.16596994859444075
0.12,0.1496571112496172,0.16596462902940864
0.13,0.1496021154809982,0.16593852426238279
0.14,0.1495180832711661,0.16587071634694642
0.15,0.14942107342078312,0.16575667841780597
0.16,0.1493086862152077,0.16563475892965893
0.17,0.14919809031950454,0.16554223924523767
0.18,0.14915416514269977,0.16549043939054153
0.19,0.14915755791285198,0.16547519819162165
0.2,0.14916206712718627,0.1654750067406909
0.21,0.14918278611001237,0.16546711278839027
0.22,0.14915990998883477,0.1654151157822302
0.23,0.1490608812665383,0.16531709260310928
0.24,0.14895584730189987,0.1652132854990695
0.25,0.1488766325919445,0.16515008410646154
0.26,0.14885211283138683,0.1651454628730056
0.27,0.14892225854788127,0.16517185285092809
0.28,0.14903993336047822,0.1652083929288246
0.29,0.14912591265209685,0.16523423894397996
0.3,0.14916733001227697,0.16522944580320237
0.31,0.1491218107008455,0.16518486854325565
0.32,0.1489829630289498,0.1651160235679332
0.33,0.1488415498884441,0.1650620057803806
0.34,0.14871682892544322,0.1650273518074242
0.35,0.14862803098282912,0.16500313203145014
0.36,0.14863769026466492,0.16498649218817552
0.37,0.1487166394788377,0.16499251178749103
0.38,0.14879334339040654,0.16502303704094873
0.39,0.1488280355837673,0.1650356566946073
0.4,0.14877539498473552,0.16500028715711146
0.41,0.14864260806615637,0.16491814122978382
0.42,0.1485218972726092,0.16482464856706952
0.43,0.14842026827427782,0.16474440141278512
0.44,0.14832098015150663,0.16468074130069937
0.45,0.14826200449349364,0.16463858659809494
0.46,0.14819506541223712,0.1646071425425493
0.47,0.14808639099792242,0.16457320583209958
0.48,0.14797688559923228,0.16450970445768548
0.49,0.14786551634777423,0.16440586294888226
0.5,0.1477466556759544,0.16427569143851425
0.51,0.14765096926557875,0.16414441544560932
0.52,0.14756003748483998,0.16405136818179308
0.53,0.14746290432006387,0.1640053109837761
0.54,0.14741425005507758,0.1639909320736491
0.55,0.14737458780828758,0.16397258395223746
0.56,0.14729246210071664,0.16392442850034017
0.57,0.1472050026961797,0.1638465868649035
0.58,0.1471064158520334,0.16374686444396097
0.59,0.14700251378462087,0.16364869561888196
0.6,0.14693527185134334,0.1635632037798365
0.61,0.14688786558646746,0.1634945628158292
0.62,0.1468387293276331,0.16342600372253124
0.63,0.1468143918623268,0.16333576978010036
0.64,0.14678659475190095,0.16323632826975865
0.65,0.14671964669716547,0.16315191828806785
0.66,0.1466482005718423,0.1631059969802206
0.67,0.1465494122587174,0.16308875496212755
0.68,0.14643378185197012,0.16308570470917955
0.69,0.1463915416519578,0.16309609537930947
0.7,0.14641715996056334,0.1631173813692202
0.71,0.14646244903585556,0.16313927078499663
0.72,0.14649758768185966,0.16313095547762554
0.73,0.14645908995465312,0.16308683814764513
0.74,0.14632266842505023,0.1630122553519634
0.75,0.14616384885858458,0.16291137001502928
0.76,0.14602129784215662,0.1628003356176629
0.77,0.14591388861638824,0.16270388040400094
0.78,0.1458911892756894,0.16265836820581164
0.79,0.14589547853296353,0.16266434663274837
0.8,0.14587526184127844,0.1626967010817765
0.81,0.1458642898025136,0.16271919211943622
0.82,0.14584124317697442,0.16270526622913992
0.83,0.14578143029633622,0.16265659131379057
0.84,0.14571274193990302,0.16258372852091246
0.85,0.14564429495377915,0.16252003241341298
0.86,0.14559064182924747,0.16248730905143371
0.87,0.14560102144418116,0.16248451095853753
