Time (s), Cell Name, Value
610.312269, C008, 10.29902
636.791109, C008, 18.43121
640.288314, C008, 16.2252
728.118125, C008, 13.52044
733.313972, C008, 19.27109
735.412296, C008, 11.65328
778.47788, C008, 11.32973
783.873568, C008, 8.834141
790.168537, C008, 8.480936
824.441148, C008, 9.068775
837.730528, C008, 11.44651
951.039977, C008, 13.87709
1008.993663, C008, 17.93304
1071.343836, C008, 11.86213
117.106414, C010, 6.967062
316.047431, C010, 8.228977
360.911577, C010, 7.046677
430.156241, C010, 7.469332
451.938833, C010, 15.27
459.832525, C010, 9.857272
461.331327, C010, 12.57529
466.027574, C010, 12.9866
470.1243, C010, 16.64996
584.732711, C010, 9.733312
732.914292, C010, 7.16083
1094.32547, C010, 7.136913
75.939313, C012, 18.55228
77.53803499999999, C012, 15.1159
174.060899, C012, 11.23034
249.200851, C012, 8.05555
270.483843, C012, 11.93418
309.15294, C012, 10.43669
321.443119, C012, 8.012372
483.913281, C012, 12.30135
518.585572, C012, 10.85694
614.608835, C012, 10.33376
645.184401, C012, 8.736584
648.481766, C012, 15.82394
652.078891, C012, 11.55456
654.576895, C012, 15.10514
672.162841, C012, 8.988184
694.445034, C012, 8.986136
710.0325779999999, C012, 9.114923
710.632099, C012, 8.574454
791.86718, C012, 8.112108
810.352407, C012, 9.199181
870.904017, C012, 9.005346
879.896831, C012, 8.519
916.2677650000001, C012, 10.06353
942.6466840000001, C012, 8.929811
970.224645, C012, 8.731703
1017.786636, C012, 10.50288
1042.566833, C012, 9.421143
1048.262282, C012, 14.16741
1057.355015, C012, 9.054342
1070.944156, C012, 7.970418
1072.343038, C012, 8.710105
1077.638806, C012, 10.72313
1093.026508, C012, 9.569326
21.382911, C013, 8.4262
28.976843, C013, 6.097979
41.866542, C013, 9.00432
43.864945, C013, 6.596424
45.763428, C013, 6.252341
59.952089, C013, 9.251153
64.048815, C013, 7.719203
132.693957, C013, 7.285945
240.507798, C013, 9.799931
344.424753, C013, 6.189679
429.75656, C013, 10.18569
657.074899, C013, 6.602073
657.7743400000001, C013, 7.276242
659.672823, C013, 10.87965
736.4114970000001, C013, 9.153522
741.107744, C013, 6.639114
746.703272, C013, 6.460443
756.195686, C013, 8.032704
787.870374, C013, 8.619109
793.365982, C013, 6.89858
798.86159, C013, 11.6296
840.228532, C013, 6.089159
860.212562, C013, 12.8654
911.571518, C013, 7.366479
915.468404, C013, 9.303022
949.041574, C013, 7.098072
985.012828, C013, 15.82346
1004.497257, C013, 10.71403
1025.780248, C013, 8.401764
1057.854616, C013, 8.135229
1106.615649, C013, 10.07271
1114.809101, C013, 6.276138
1119.105667, C013, 8.68907
1129.097682, C013, 8.180804
1140.488579, C013, 6.292475
1141.28794, C013, 8.687391
1144.285545, C013, 6.53724
3.697045, C014, 10.69303
12.889699, C014, 8.570003
69.444503, C014, 9.934785
102.917753, C014, 13.67822
109.812243, C014, 13.91256
111.211125, C014, 15.15655
185.851476, C014, 12.28187
224.420654, C014, 7.172249
236.610912, C014, 7.234848
265.987436, C014, 8.748373
314.948309, C014, 10.34887
392.186584, C014, 7.209568
426.459195, C014, 6.627572
432.054723, C014, 8.477233
447.142666, C014, 7.350174
454.436837, C014, 10.02231
576.739099, C014, 6.965089
589.528878, C014, 10.34275
618.605641, C014, 13.83078
645.983762, C014, 8.172088
663.769549, C014, 17.16323
695.0445549999999, C014, 8.575796
730.915889, C014, 11.96313
749.900717, C014, 7.217632
764.888739, C014, 7.561747
772.482671, C014, 7.834394
788.8695750000001, C014, 11.85029
812.45073, C014, 12.90876
845.5243, C014, 15.08511
850.720147, C014, 17.04805
862.410805, C014, 7.03809
898.481979, C014, 7.477093
906.975191, C014, 17.24044
913.869681, C014, 7.491789
956.335745, C014, 14.11979
962.630714, C014, 8.166199
1006.79542, C014, 10.9243
1042.466913, C014, 6.762272
1057.854616, C014, 13.71416
1059.453338, C014, 6.589862
1081.335851, C014, 8.900476
1088.630022, C014, 6.388676
1139.889058, C014, 6.84501
73.94091, C015, 9.908623
154.77631, C015, 13.43502
249.800372, C015, 14.70839
273.781208, C015, 11.71451
493.505615, C015, 17.26104
594.225125, C015, 10.00356
662.270747, C015, 12.04726
791.367579, C015, 9.750813
797.762468, C015, 10.13052
1023.282245, C015, 18.3724
1028.378172, C015, 37.67178
1106.715569, C015, 9.508919
106.315038, C016, 8.270741
138.389406, C016, 14.74087
178.057705, C016, 26.41288
201.63886, C016, 13.67944
204.236784, C016, 16.32568
230.216023, C016, 12.93383
269.484641, C016, 55.72436
273.281607, C016, 46.10711
276.878732, C016, 43.47313
284.072983, C016, 15.18498
337.230502, C016, 12.86319
404.676603, C016, 13.09483
502.698269, C016, 10.01715
545.2642520000001, C016, 27.37525
552.358583, C016, 13.16848
598.721532, C016, 13.42137
767.486663, C016, 27.54586
913.969602, C016, 26.91175
914.669043, C016, 13.74474
923.4620159999999, C016, 10.94895
1077.239125, C016, 12.60294
1078.737927, C016, 15.62826
1079.137608, C016, 51.34037
160.271918, C017, 33.84716
168.465371, C017, 40.88448
187.250359, C017, 43.3325
429.157039, C017, 35.68579
445.943624, C017, 37.06639
471.123502, C017, 31.79608
493.505615, C017, 23.69871
501.898908, C017, 45.24792
506.595155, C017, 46.18318
547.162735, C017, 44.47748
549.560819, C017, 15.93565
559.552833, C017, 35.51051
658.573701, C017, 20.06033
670.963799, C017, 17.43647
682.954217, C017, 14.99384
754.497044, C017, 31.00551
761.291614, C017, 17.91438
763.789618, C017, 15.49163
770.684108, C017, 15.08698
781.2756440000001, C017, 56.25208
791.86718, C017, 31.31651
1128.198401, C017, 15.29274
1134.39345, C017, 19.48339
65.048016, C018, 10.65652
101.21911, C018, 34.82079
118.205536, C018, 12.34998
126.698748, C018, 34.47044
136.291083, C018, 22.74211
144.684375, C018, 20.10389
146.682778, C018, 21.86611
151.179185, C018, 19.73002
156.275112, C018, 28.46369
159.972158, C018, 26.93368
164.568485, C018, 24.23129
169.264732, C018, 24.94682
178.857066, C018, 30.61626
192.146446, C018, 24.04203
196.542932, C018, 29.17095
208.43343, C018, 26.15026
262.889911, C018, 28.84515
268.7852, C018, 22.09367
269.484641, C018, 12.47953
298.161724, C018, 21.96972
370.703752, C018, 16.9161
378.397603, C018, 14.78812
380.895607, C018, 56.79704
383.693371, C018, 22.94943
387.890018, C018, 27.73758
400.479956, C018, 11.94672
404.576682, C018, 25.60613
488.609528, C018, 17.75994
490.907691, C018, 61.37569
524.980462, C018, 28.33714
528.877348, C018, 28.08471
660.672024, C018, 27.73816
746.503432, C018, 16.2543
844.325258, C018, 10.46425
856.4155960000001, C018, 10.59289
905.276549, C018, 35.49986
920.364491, C018, 21.84376
1087.63082, C018, 28.1119
1120.104869, C018, 43.13886
68.844982, C019, 8.941477
309.05302, C019, 8.041189
376.09944, C019, 12.77486
529.576789, C019, 7.764409
775.280435, C019, 11.10327
781.575404, C019, 26.08506
781.975085, C019, 23.7302
