Time (s), Channel Name, Value
84.57859999999999, GPIO-1, 49040
84.5788, GPIO-1, 49184
84.57899999999999, GPIO-1, 49040
84.5792, GPIO-1, 49216
84.57940000000001, GPIO-1, 49104
84.5796, GPIO-1, 49152
84.57980000000001, GPIO-1, 49216
84.58, GPIO-1, 49168
84.5802, GPIO-1, 49152
84.5804, GPIO-1, 49056
84.5806, GPIO-1, 49168
84.5808, GPIO-1, 49024
84.581, GPIO-1, 49216
84.5812, GPIO-1, 49104
84.5814, GPIO-1, 49024
84.58159999999999, GPIO-1, 49072
84.5818, GPIO-1, 49136
84.58199999999999, GPIO-1, 49168
84.5822, GPIO-1, 49216
84.58240000000001, GPIO-1, 49120
84.5826, GPIO-1, 49024
84.58280000000001, GPIO-1, 49216
84.583, GPIO-1, 49136
84.58320000000001, GPIO-1, 49184
84.5834, GPIO-1, 49088
84.5836, GPIO-1, 49104
84.5838, GPIO-1, 49200
84.5842, GPIO-1, 49136
84.5844, GPIO-1, 49040
84.58459999999999, GPIO-1, 49200
84.5848, GPIO-1, 49056
84.58499999999999, GPIO-1, 49200
84.5852, GPIO-1, 49104
84.58540000000001, GPIO-1, 49056
84.58580000000001, GPIO-1, 49104
84.586, GPIO-1, 49152
84.58620000000001, GPIO-1, 49056
84.5864, GPIO-1, 49184
84.5866, GPIO-1, 49024
84.5868, GPIO-1, 49216
84.587, GPIO-1, 49104
84.5872, GPIO-1, 49168
84.5874, GPIO-1, 49072
84.58759999999999, GPIO-1, 49168
84.58799999999999, GPIO-1, 49056
84.5882, GPIO-1, 49120
84.58839999999999, GPIO-1, 49024
84.5886, GPIO-1, 49216
84.58880000000001, GPIO-1, 49120
84.589, GPIO-1, 49184
84.58920000000001, GPIO-1, 49072
84.5894, GPIO-1, 49136
84.5896, GPIO-1, 49184
84.5898, GPIO-1, 49216
84.59, GPIO-1, 49120
84.5902, GPIO-1, 49040
84.5904, GPIO-1, 49216
84.59059999999999, GPIO-1, 49088
84.5908, GPIO-1, 49040
84.59099999999999, GPIO-1, 49088
84.59139999999999, GPIO-1, 49200
84.59180000000001, GPIO-1, 49152
84.592, GPIO-1, 49040
84.59220000000001, GPIO-1, 49200
84.5924, GPIO-1, 49040
84.5926, GPIO-1, 49216
84.5928, GPIO-1, 49104
84.593, GPIO-1, 49040
84.5932, GPIO-1, 49056
84.5934, GPIO-1, 49184
84.5936, GPIO-1, 49152
84.5938, GPIO-1, 49056
84.59399999999999, GPIO-1, 49120
84.5942, GPIO-1, 49024
84.59439999999999, GPIO-1, 49216
84.5946, GPIO-1, 49120
84.59480000000001, GPIO-1, 49168
84.595, GPIO-1, 49056
84.59520000000001, GPIO-1, 49152
84.5954, GPIO-1, 49168
84.5956, GPIO-1, 49056
84.5958, GPIO-1, 49120
84.596, GPIO-1, 49024
84.5962, GPIO-1, 49216
84.5964, GPIO-1, 49120
84.5966, GPIO-1, 49184
84.5968, GPIO-1, 49088
84.59699999999999, GPIO-1, 49120
84.5972, GPIO-1, 49184
84.59739999999999, GPIO-1, 49200
84.5976, GPIO-1, 49120
84.59780000000001, GPIO-1, 49040
84.598, GPIO-1, 49216
84.59820000000001, GPIO-1, 49072
84.5984, GPIO-1, 49040
84.5986, GPIO-1, 49072
84.5988, GPIO-1, 49152
84.599, GPIO-1, 49056
84.5992, GPIO-1, 49184
84.5994, GPIO-1, 49152
84.5996, GPIO-1, 49040
84.5998, GPIO-1, 49104
84.59999999999999, GPIO-1, 49152
84.6002, GPIO-1, 49216
84.60039999999999, GPIO-1, 49104
84.6006, GPIO-1, 49024
84.60080000000001, GPIO-1, 49056
84.601, GPIO-1, 49168
84.6014, GPIO-1, 49056
84.6016, GPIO-1, 49104
84.6018, GPIO-1, 49168
84.602, GPIO-1, 49216
84.6022, GPIO-1, 49104
84.6024, GPIO-1, 49168
84.6026, GPIO-1, 49216
84.6028, GPIO-1, 49136
84.60299999999999, GPIO-1, 49168
84.6032, GPIO-1, 49072
84.60339999999999, GPIO-1, 49152
84.6036, GPIO-1, 49024
84.60380000000001, GPIO-1, 49216
84.604, GPIO-1, 49120
84.60420000000001, GPIO-1, 49184
84.6044, GPIO-1, 49072
84.6046, GPIO-1, 49104
84.6048, GPIO-1, 49184
84.605, GPIO-1, 49200
84.6052, GPIO-1, 49104
84.6054, GPIO-1, 49040
84.6056, GPIO-1, 49200
84.6058, GPIO-1, 49136
84.60599999999999, GPIO-1, 49200
