,767,767,767,767,768,768,768,768,777,777,777,777,198,198,198,198,200,200,200,200,206,206,206,206
%Area,9.438,9.054,22.24,4.499,6.186,6.893,9.418,6.867,5.862,9.251,8.816,8.475,0.625,0.552,0.478,0.753,0.526,0.839,0.771,0.892,0.318,0.383,0.524,0.477
